Sample,Depth,Date,Bulk density
114,7,2022,1.621383343
114,22,2022,1.538319262
114,60,2022,1.294292087
114,105,2022,1.326496436
221,7,2022,1.52171211
221,22,2022,1.33232902
221,60,2022,1.213457878
221,105,2022,1.293510037
116,15.24,2021,1.331830467
116,45.72,2021,1.139133446
116,76.2,2021,1.361704762
212,15.24,2021,1.372027817
212,45.72,2021,1.349493484
212,76.2,2021,1.297107465
315,15.24,2021,1.334958666
315,45.72,2021,1.21017803
315,76.2,2021,1.362956041
313,15.24,2021,1.552681274
313,45.72,2021,1.241007407
313,76.2,2021,1.157902636
216,15.24,2021,1.573464742
216,45.72,2021,1.300861303
216,76.2,2021,1.320426528
113,15.24,2021,1.335732332
113,45.72,2021,1.380989443
113,76.2,2021,1.330735598
