Date,Method,Name,Sample Mass,Carbon,Nitrogen
3/23/2022,CORN LEAF,61,0.1276,43.6,2.47
3/23/2022,CORN LEAF,61,0.1245,43.6,2.48
3/23/2022,CORN LEAF,62,0.1257,43.2,2.24
3/23/2022,CORN LEAF,62,0.1283,43.2,2.22
3/23/2022,CORN LEAF,63,0.1285,43.4,2.44
3/23/2022,CORN LEAF,63,0.1233,43.3,2.44
3/23/2022,CORN LEAF,64,0.1272,44.2,2.64
3/23/2022,CORN LEAF,64,0.1227,43.3,2.57
3/23/2022,CORN LEAF,65,0.1256,43.7,2.57
3/23/2022,CORN LEAF,65,0.123,44,2.62
3/23/2022,CORN LEAF,66,0.123,43.5,2.36
3/23/2022,CORN LEAF,66,0.1258,43.7,2.38
3/23/2022,CORN LEAF,67,0.1231,43.6,2.52
3/23/2022,CORN LEAF,67,0.126,43.5,2.5
3/23/2022,CORN LEAF,68,0.1256,43.1,2.52
3/23/2022,CORN LEAF,68,0.1249,43.5,2.51
3/23/2022,CORN LEAF,69,0.1214,43.3,2.29
3/23/2022,CORN LEAF,69,0.1247,43.4,2.28
